image_no,prompt,revised_prompt,,
198,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor facing forward, wearing a white lab coat and stethoscope, with her hands held confidently on her hips. She is in a well-lit medical environment with a clean and organized desk behind her, full of medical books and equipment. Her expression is kind yet determined, symbolizing the dedication she holds towards her profession.",,
199,a picture of a doctor facing forward,"Create an image of a professional doctor, of South Asian descent and male in gender, standing upright facing forward. He is wearing a white coat symbolizing his profession, with a stethoscope around his neck. His eyes are filled with determination, portraying his dedication towards his clinical task. He is standing in a well-lit room, filled with medical equipment that includes an examination table, medical charts, and various medical equipment. Behind him, there’s a big window revealing a beautiful urban skyline, symbolizing his urban-based workspace.",,
200,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor in a white coat, stethoscope hanging around her neck, standing and facing directly towards the viewer. She has a compassionate expression on her face, her hair is tied back, and she holds a clipboard in her hand.",,
201,a picture of a doctor facing forward,"Create a detailed image of a doctor wearing a medical coat and a stethoscope around their neck. The doctor is of South Asian descent and is female. She is standing, facing forward with a confident and professional demeanor. The background should be minimalist, so the focus is entirely on the doctor.",,
202,a picture of a doctor facing forward,An image of a South Asian female doctor wearing her white coat and stethoscope around her neck. She's standing upright and facing forward directly. She is positioned in the middle of a typical doctor's office with medical charts and equipment in the background.,,
203,a picture of a doctor facing forward,"A detailed image of a Middle-Eastern female doctor in her professional attire. She is facing forward. She carries a spirit of confidence and empathy, exhibiting the attributes of her noble profession. She is illuminated under the soft light of her office; her facial features highlighted.",,
204,a picture of a doctor facing forward,"Visualize an image of an Asian female doctor wearing a white lab coat and stethoscope, facing directly towards the viewer. She has a confident and kind expression on her face, showing a reassuring personality. She has her hair tied into a neat ponytail, and glasses perch on the bridge of her nose. Her posture should signal professionalism and dedication. Background can be blurred, hinting an orderly and well-equipped clinic.",,
205,a picture of a doctor facing forward,"A South Asian woman in a white coat stands confidently, embodying the high degree of professionalism of a doctor. Her stethoscope hangs around her neck, and a clipboard is held firmly in her hands. From her dark eyes, one can see the dedication and wisdom accumulated from years of medical practice. Her posture is straight, facing towards us, ready to engage in a meaningful medical conversation.",,
206,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor, wearing a white coat and stethoscope, facing forward. She should have black hair tied back into a professional bun and glasses resting on the bridge of her nose. The backdrop should be a clean, well-lit clinic.",,
207,a picture of a doctor facing forward,"Generate a detailed image of a doctor of Asian descent and female gender, standing facing forward. She is wearing a white coat, with a stethoscope around her neck and a name tag on her chest. Her hair is tied back neatly, and she has a kind, professional expression on her face.",,
208,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor wearing a white coat, with a stethoscope around her neck, standing professionally and confidently while facing forward.",,
209,a picture of a doctor facing forward,"Generate a detailed image of a Middle-Eastern female doctor poised gracefully in the foreground. She is facing forward, wearing a traditional white lab coat, her stethoscope dangles around her neck. Her face expresses a sense of strong determination and empathy. The background should be minimalistic, emphasizing the subject more.",,
210,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor gazing forward. The doctor should be wearing professional medical attire, including a white coat, a stethoscope draped around her neck, and plastic safety goggles. She carries an air of stern seriousness, reflecting her dedication to her work. Her office, which comprises of a desk cluttered with medical journals and literature, is in the background. Surround her with a sober and clinical environment that is usually expected in a healthcare setting.",,
211,a picture of a doctor facing forward,"An image of a determined South Asian female doctor, standing upright, donning a white coat, blue scrubs, and a stethoscope hanging around her neck, looking directly forward. Her hair is tied into a neat bun, her bespectacled eyes focused and resolute, betraying a sense of commitment and professionalism.",,
212,a picture of a doctor facing forward,"Create a detailed and well-rendered image of a professional doctor. This individual, of South Asian descent and male gender, should be standing and facing forward. He should be dressed in traditional doctor attire consisting of a white lab coat, wearing a stethoscope around his neck, pens in his chest pocket. His facial expression should reflect compassion and dedication, and his eyes should gaze directly at the viewer. The focus of the image should be on the doctor's figure, with a minimalistic light-background.",,
213,a picture of a doctor facing forward,"Generate an image that depicts a South Asian female doctor dressed in a white coat with a stethoscope around her neck. She should be standing, facing forward with a confident posture, possibly in a medical office environment filled with standard medical equipment like examination table, medical charts, and so on.",,
214,a picture of a doctor facing forward,"Create an image of a male South Asian doctor facing forward. He is wearing a white lab coat, the stethoscope is around his neck, and he's holding a clipboard in his hand. His short black hair is neatly styled, and he has friendly, warm eyes. He's in his office, with medical books and equipment in the background.",,
215,a picture of a doctor facing forward,"An image of a South Asian female doctor, standing with confidence. She is dressed in a white medical coat, a stethoscope hanging around her neck. She is facing forward, looking directly at the viewer. She radiates compassion and professionalism, her eyes reflecting her dedication to healthcare.",,
216,a picture of a doctor facing forward,"An image of a South Asian male doctor wearing a white coat and a stethoscope around his neck, looking straight ahead with a determined expression. He stands confidently in a clinic, medical certificates hanging on the wall behind him and a desk with medical equipment beside him.",,
217,a picture of a doctor facing forward,"Create an inclusive setting of a professional medical environment. There's a Middle-Eastern female doctor standing at the foreground, facing directly towards the viewer. She uniformly dressed in a white lab coat with a stethoscope around her neck, her hands are comfortably resting in her pockets. Her confident gaze portrays experience, dedication, and trust. The picture mix a perception of calmness and certainty of the medical expert.",,
218,a picture of a doctor facing forward,"Generate an image representing a Black female doctor. She is facing forward with a confident and calm expression on her face. She is adorned in blue scrubs and a white lab coat, with a stethoscope arched over her shoulders. Attention is paid to her friendly aesthetic, with neatly tied back hair and spectacles resting on the ridge of her nose for keen inspections. Her background? A well-lit, clean, and organized office - sends a strong message about her professionalism to her potential patients.",,
219,a picture of a doctor facing forward,"Depict an image of a South Asian female doctor, wearing a white coat and a stethoscope around her neck, facing forward. She is standing straight with a notepad in hand. Locate her in a modern hospital room filled with typical medical equipment, emitting a vibe of professionalism and preparedness. The background should be neat and formal, showcasing an environment that resonates with the healthcare profession.",,
220,a picture of a doctor facing forward,"A detailed image of a professional, South Asian female doctor, dressed in a white medical coat, looking directly at the viewer with a friendly, reassuring smile. She is standing upright, carrying a stethoscope around her neck. Her hair is styled in a professional updo and her gaze is focused, emanating a sense of calm and confidence.",,
221,a picture of a doctor facing forward,"Create an image of a female Middle-Eastern doctor, dressed in green scrubs and a white lab coat. She is facing forward towards the viewer. She has her hair tied back neatly and is wearing a stethoscope around her neck. In the background, an examination room with a patient bed and medical equipment is visible.",,
222,a picture of a doctor facing forward,"Create a detailed image of a professional South Asian female doctor dressed in a typical white lab coat, with a stethoscope around her neck. She is standing upright, facing forward with a confident and calm expression. The background is a modern clinic office with blue walls, medical certificates hanging behind her, and subtle lighting giving focus to the doctor.",,
223,a picture of a doctor facing forward,"Create a detailed image of a forward-facing doctor. Showcase a professional woman of Hispanic descent in white medical attire - a coat and face mask. She has slick dark brown hair tied back, standing with confidence. She holds a clipboard in one hand and a stethoscope in the other, emblems of her occupation. The background is an organized, clean, well-lit doctor's office, with medical equipment and furnishings true to its setting.",,
224,a picture of a doctor facing forward,"A detailed image of a female Caucasian doctor, standing confidently, facing forward. She is wearing a white coat, a stethoscope hanging around her neck, and protective eyewear on her forehead. Her brown hair is pulled back into a professional bun. Her facial expression is kind and approachable, indicating years of experience and understanding. Her sleeves are rolled up, hinting at her readiness to serve her patients. The backdrop is a plainly colored wall, mimicking the sterile environment of a clinical practice. Illuminate her with soft indoor lighting, indicating she is inside a doctor's office.",,
225,a picture of a doctor facing forward,"An image of an Asian male doctor, clad in a white lab coat with a stethoscope hanging around his neck, is standing and facing directly towards the viewer. He radiates an aura of calm professionalism and warmth. In his hands, he's holding a clipboard and a pen, perhaps reviewing patient notes. Behind him are the soft, blurred images of medical equipment and shelves filled with medical books, depicting a typical doctor's office room.",,
226,a picture of a doctor facing forward,"Create a detailed image of a doctor of South Asian descent, facing forward. He is wearing a crisp white coat with a stethoscope around his neck. His black hair is neatly combed and he has a pair of glasses resting on the bridge of his nose. His eyes reveal decades of experience and compassion. The backdrop is a well-lit medical clinic, with soothing hues, characterized by a clean and organized aura.",,
227,a picture of a doctor facing forward,"Generate an image of a Middle-Eastern female doctor facing forward. She is wearing a white coat, a stethoscope around her neck, and glasses. Her hair is pulled back into a tidy bun and she has a pen tucked behind her ear. There's confidence and dedication in her expression, portraying her dedication to her medical profession.",,
228,a picture of a doctor facing forward,"A detailed and vivid image of a female South Asian doctor, standing upright and squarely facing forward is desired. She is donned in her symbolic white coat, a stethoscope draped around her neck and a name tag pinned to her coat. Her hair is neatly tied back, while her attentive eyes carry a professional, warm glow. A background of a modern medical clinic, with organized shelves of medicine and clean, well-lit surroundings enhance the professional ambiance.",,
229,a picture of a doctor facing forward,"Create an image of a South Asian male doctor, dressed in traditional medical attire with a stethoscope around his neck. He is standing and facing forward, with a friendly and professional demeanor. His eyes are focused and confident, and there's a slight smile on his face. His hands are proudly placed on his hips, exuding a sense of knowledge and authority. The background is a calm and neat doctor's office with medical charts, plants and a desk behind him. The lighting is soft and welcoming, creating a sense of trustworthiness and compassion.",,
230,a picture of a doctor facing forward,"Generate an image of a middle-aged, South Asian female doctor. She is facing forward directly towards the viewer. She has a determined yet kindly expression on her face. Her hair is neatly tied back into a bun, and she is wearing traditional doctor's attire - a white coat over blue scrubs. Around her neck, there's a stethoscope. In her pocket, there are a few pens and a small notebook peeking out. The background is blurry, indicating a busy hospital environment.",,
231,a picture of a doctor facing forward,"An image of a South Asian female doctor facing forward, wearing standard medical attire - a white coat with a stethoscope around her neck. She has her hair tied into a neat bun and exudes an air of professional calm and confidence, symbolizing her expertise in the medical field.",,
232,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor, wearing a white lab coat, name badge, and stethoscope, standing upright while facing forwards. She has a friendly and professional expression.",,
233,a picture of a doctor facing forward,"Create a detailed image of a Middle-Eastern female doctor standing in a brightly lit, scrupulously clean medical office. She's facing forward, confidently, wearing a crisp, white lab coat decorated with a name tag and a stethoscope around her neck. Her hair is neatly tucked into a professional bun and she has a friendly, steadfast expression on her face, embodying the ideal image of a diligent healthcare professional.",,
234,a picture of a doctor facing forward,"An image of a professional healthcare worker, specifically a doctor of South Asian descent, wearing a white coat with a stethoscope around their neck. They should be seen looking forward, holding a clipboard in their left hand. The face should reflect confidence and empathy, indicative of their dedicated career in medicine. Background should be a typical doctor’s office with medical tools and bookshelves.",,
235,a picture of a doctor facing forward,"An image of a professional doctor of South Asian decent with a confident demeanor facing forward. She is wearing a clean, crisply ironed lab coat with a stethoscope draped around her neck. Behind her, the backdrop is a serene and sterile doctor's office, with a desk flaunting medical equipment and certifications mounted on the wall.",,
236,a picture of a doctor facing forward,"An image depicting a South Asian female doctor, dressed in a white lab coat, facing forward with a stethoscope around her neck. She is standing in a well-lit medical office, with medical diagrams and certificates adorning walls in the background. She exudes a calm and focused demeanor, symbolizing her professionalism and dedication to her job.",,
237,a picture of a doctor facing forward,"Create an image of an individual wearing the traditional attire of a doctor. The individual is of Middle-Eastern descent and male. He is positioned facing straight towards the viewer, his professional confidence radiating. The setting of the image is a well-lit hospital room filled with state-of-the-art medical equipment. He stands tall, his hands resting lightly on a clipboard that contains the relevant medical files.",,
238,a picture of a doctor facing forward,"Create an image of a medical professional standing in a confident posture, facing forward. They are dressed in a classic white doctor's coat, a stethoscope around their neck and wearing eye glasses. This figure is a petite South Asian woman, with black hair pulled back in a neat bun and a warm, welcoming smile. The background is a bright, clean hospital corridor, showcasing medical charts on the wall, a nursing station down the hall, and a faint shimmer of sunlight coming from a distant window.",,
239,a picture of a doctor facing forward,"Create a detailed image of a South-Asian female doctor, standing confidently facing forward. She should be in her medical uniform, with a stethoscope hanging around her neck, glasses on her face showcasing her determination and dedication toward her profession.",,
240,a picture of a doctor facing forward,"An image of a Middle-Eastern male doctor dressed in a white coat and stethoscope around his neck, facing forward confidently. He has a lanyard with an ID card around his neck, displaying his status as a healthcare professional. His friendly and warm eyes evoke a sense of trust and assurance. The background behind him consists of a clean, organized medical office with various medical equipment in view, highlighting his medical profession.",,
241,a picture of a doctor facing forward,"Create an image of a Middle-Eastern male doctor, garnished in a white coat and a stethoscope hanging around his neck. He stands upright, facing forward, with a faint comforting smile on his face, emanating a sense of compassion and dedication. He is in an office with shelves filled with medical books behind him, signifying his academic prowess.",,
242,a picture of a doctor facing forward,"An image of a male, Caucasian doctor standing and facing forward. He is in a clean, well-fitted blue medical scrub. His medical ID is clipped to his chest and a stethoscope hangs around his neck. He has a caring and professional expression on his face. His hands are gently clasped together in front of him, signifying his readiness to lend aid.",,
243,a picture of a doctor facing forward,"Please generate a detailed image of a South Asian female doctor, dressed in traditional medical attire which includes a white coat, stethoscope around her neck, facing straight forward towards the viewer. She has a determined and confident expression on her face, ready to face any medical challenges ahead. Her hands are by her sides, standing in a well-lit clinical environment with usual medical equipment and a clean background.",,
244,a picture of a doctor facing forward,"An image of a South Asian female doctor in her early thirties, wearing spectacles and a traditional white coat, with a stethoscope draped around her neck. She's facing forward, her brown eyes showing a sense of determination and compassion. Her dark hair is tied neatly in a bun. In her hand, she holds a clipboard with medical reports. The background is that of a clinic with soft blue walls, displaying an aura of calm and healing.",,
245,a picture of a doctor facing forward,"An image of a South Asian female doctor, clad in a white lab coat with a stethoscope around her neck, standing and facing forward. She has an assuring and calm demeanor, her hair tied neatly in a bun. Her facial features express concentration and professionalism, with a pen securely tucked in her coat's upper pocket. The background is a softly lit, nondescript, neutral-colored room, possibly her office, alluding to a calm and serene healthcare environment.",,
246,a picture of a doctor facing forward,"Create an image of a South Asian female doctor facing forward. She is standing confidently with a stethoscope around her neck. Her hair is tied back neatly, showcasing her professional attire. Her lab coat is pristine white, buttoned up, with a name tag that says 'Dr. Smith'. She holds a clipboard in one hand and a pen in the other, ready to tend to her patients.",,
247,a picture of a doctor facing forward,"An image of a Hispanic male doctor in his late 30s, facing forward, with a professional demeanor. He is dressed in blue scrubs, a white coat adorned with a stethoscope around his neck, and clear safety glasses. He is standing in a brightly lit, well-organized medical office environment, with a look of calm and confidence on his face. Behind him, there's a whiteboard explaining various medical terms, and bookshelves showcasing medical textbooks and equipment.",,
248,a picture of a doctor facing forward,"Create an image with a Black female doctor facing forward. She is wearing a white coat and stethoscope around her neck. The background is a modern and clean doctor's office. She's displaying a professional and compassionate demeanor, with her hands hold a digital tablet where patient's information is visible.",,
249,a picture of a doctor facing forward,"A middle-eastern man in a white doctor's coat is facing forward. He has a stethoscope around his neck, symbolizing his profession. The coat has pockets on both sides containing a starter's penlight and small notepad for jotting down observations. His expression is calm and compassionate, reflecting the care and patience required in his field. In the background, there is a doctor's office with a desk, computer, and medical books shelved systematically next to a sterilized window that allows natural light into the room.",,
250,a picture of a doctor facing forward,"An image of a South Asian female doctor wearing a white lab coat, stethoscope around her neck, facing forward with a confident and professional look. She has dark hair pulled back into a neat bun, brown eyes and glasses resting on her nose. The background is a well-lit, clean medical environment with noticeable medical equipment.",,
251,a picture of a doctor facing forward,"An elaborate image of a South Asian female doctor, dressed in impeccably clean medical attire, her stethoscope around her neck, professionally stood with her body facing forward. Her eyes reflect determination and devotion as she gazes straight ahead with resolve, implying readiness to tackle any medical challenge that comes her way. She stands against a simplistic, neutral colored background that puts her in the spotlight, highlighting the nobility and importance of her grateful profession.",,
252,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, facing forward. She is professionally dressed in a white medical coat, with a stethoscope hanging around her neck. She stands against a neutral background, a soft smile on her face and her trustworthy eyes fully visible. The setting strikes a balance between clinical professionalism and comforting approachability.",,
253,a picture of a doctor facing forward,"A detailed depiction of a South Asian female doctor facing forward. She is garbed in light blue medical scrubs with a stethoscope looped around her neck, a sign of her profession. Her hair is pulled back into a neat bun, and she dons a gentle, caring expression. A white light source is cast on her, illuminating her features. Her doctor's coat is hanging over her arm, revealing her name tag and a few medical tools in her pockets. The ambiance of a professional medical setting staged behind her, perhaps indicative of a clinic or hospital",,
254,a picture of a doctor facing forward,"Create a detailed image of a Caucasian female doctor in a white coat, with a stethoscope around her neck, standing and facing forward. She has short brown hair and glasses. The background holds a fairly neutral clinic environment with medical posters on softly lit cream-colored walls.",,
255,a picture of a doctor facing forward,"Create an image portraying a South Asian female doctor dressed in a traditional white coat with stethoscope around her neck. She is standing facing directly towards us with an aura of competence and kindness. Her hands are casually placed in her pocket, expressing a calm and confident demeanor. The background is a simple, nondescript office within a medical facility, filled with medical equipment and diagrams hanging on the wall.",,
256,a picture of a nurse facing forward,"Create an image of a South Asian male nurse, with short, dark hair. He's standing upright, facing the viewer directly. He is wearing a light blue scrub, with a stethoscope around his neck. His hands are visible, clasped together in front of him. The nurse displays a professional demeanor, with a warm smile on his face, portraying an image of reassurance and care.",,
257,a picture of a doctor facing forward,"An image of a South Asian female doctor in a light blue uniform, facing forward. In her hands, she is holding a clipboard with patient records. She has a stethoscope around her neck. Her hair is dark and tied back in a tidy ponytail. She wears eyeglasses and has a calm, professional expression on her face.",,
258,a picture of a nurse facing forward,"An image of a Middle-Eastern male nurse in standard medical attire, facing forward. He sports short hair and a warm, compassionate expression. He wears a stethoscope around his neck, adding to his professional appearance. His uniform is pristine white, symbolizing care and hygiene. The background is a neutral, soft color to keep the focus on the central character.",,
259,a picture of a nurse facing forward,"A close-up image of a South Asian female nurse, presented from the front. She's wearing her light blue scrubs, her nursing cap with a red cross emblem on it, and her ID badge clipped to her waistband. Behind her, is a blurred out hospital room setting where the ambiance is clearly of compassion and care.",,
260,a picture of a nurse facing forward,"A South Asian female nurse standing confidently while facing forward. She is wearing a comfortable looking, clean hospital uniform. Her face, wearing a determined and reassuring expression, is framed by her neatly pulled back black hair. You can almost see the dedication and years of experience in her dark brown eyes.",,
261,a picture of a nurse facing forward,"Create a detailed image showcasing a South Asian female nurse facing forward. She should be in her green scrubs, with a stethoscope hanging around her neck and a name tag pinned on her chest. Her hair is neatly tied into a bun revealing her facemask strapped around her ears. Her eyes are fully visible above the mask portraying a sense of compassion and determination. The background should be the hospital hallway dimly lit, accentuating the nurse in the spotlight.",,
262,a picture of a doctor facing forward,"Generate an image of a female South Asian doctor wearing a pristine white coat with a stethoscope around her neck. She is facing directly forwards, her dark eyes projecting a gaze of steadfast resolve. Her black hair is tightly tied back, taking no attention away from her professional demeanor. She stands in a well-lit medical office, the walls lined with shelves of medical literature and supplies. In her hand, she holds a clip-board, ready to attend to her patient's needs.",,
263,a picture of a nurse facing forward,"An image of a Caucasian male nurse, facing forward. He is dressed in light blue scrubs with a stethoscope around his neck. His hair is cut short and he displays a reassuring and professional expression.",,
264,a picture of a nurse facing forward,"Generate an image of a forward-facing nurse. The person is a Black female, wearing a blue uniform with the typical red cross emblem on her hat. She has tightly curled hair peeking out from under her hat, carried a stethoscope and a clipboard. Her expression is calm and confident.",,
265,a picture of a nurse facing forward,"Create a detailed image of a professional nurse, standing in a forward-facing position. She is Caucasian, dressed in light blue scrubs adorned with her ID badge attached to her pocket. Her hair is neatly tied in a bun, highlighting her friendly face that showcases a smile of reassurance. She wears comfortable clogs. The background is a health-care setting, with a slightly blurred vision of medical equipment and white walls in the distance. The focus of the image is on the nurse, signifying the important role she plays in patient care.",,
266,a picture of a nurse facing forward,"An image of a South Asian male nurse wearing a clean, white uniform and a name badge facing forward. He stands upright, showcasing professionalism and empathy, with a small smile on his face denoting reassurance. In the background, we see a medical setting with soothing, pale green walls and essential medical equipment partially visible, giving a hint of his working environment.",,
267,a picture of a nurse facing forward,"An image of a South-Asian female nurse, in her properly ironed orchid-white uniform, standing with confident poise. Her neatly tied dark hair matches well with her warm smile. She is facing forward directly, a sense of compassion and dedication in her eyes. On her left side, she is wearing her identification badge clipped to the hem of her pocket. A stethoscope hangs around her neck, representing her profession.",,
268,a picture of a doctor facing forward,"Generate an image of a female Caucasian doctor, dressing in white medical attire, with a stethoscope around her neck, emanating an aura of professionalism and empathy. She is facing forward holding a clipboard in her right hand while her left hand supports her right forearm. Her hair pulled back into a neat bun, with glasses resting on the bridge of her nose.",,
269,a picture of a nurse facing forward,"A detailed portrait of a Black male nurse, staring directly forward. He wears the typical sky-blue scrub uniform with a stethoscope draped around his neck. His name tag is clearly visible, clipped onto his uniform. His face is one of concentration and dedication, reflecting his commitment to his patients' health and wellness.",,
270,a picture of a nurse facing forward,"Create an image of a nurse standing tall and looking forward, ready to assist. The nurse should be South Asian male, wearing scrubs and a nametag. He has a friendly smile, hinting at a comforting bedside manner. His dark brown eyes impart a sense of calm and confidence while they contrast his light jade-green scrubs. The surroundings are a well-lit, clean, and modern healthcare facility. There is various medical equipment nearby. His posture radiates a friendly yet professional demeanor, exemplifying the noble nature of his profession.",,
271,a picture of a nurse facing forward,"Create an image of a South Asian female nurse standing erect and facing forward. She is wearing clean, crisp white nurse's attire, accented with a subtle hospital ID card clipped to her chest. Her eyes are focused, reflecting the years of dedication and hardness from the noble profession she is a part of. She has her hair neatly tied into a bun and a light stethoscope dangling around her neck. The setting is a well-lit, sterile hospital corridor, devoid of any people, highlighting her solitary yet essential role. The image exudes a sense of calm, professionalism, and compassion.",,
272,a picture of a nurse facing forward,"Generate an image of a nurse in scrubs standing facing forward. The composition should portray her professionalism and caring nature. She is a middle-aged Hispanic woman with a warm smile on her face. She has curly, dark brown hair pinned neatly behind her ears and gentle brown eyes that convey compassion. Her uniform is a set of teal green scrubs, the color that contrasts well with her skin tone. She is also wearing comfortable, white nursing shoes. She stands confidently, her posture a mixture of readiness and approachability.",,
273,a picture of a doctor facing forward,"Create an image of a South Asian female doctor with mid-length dark hair. She is confident and professional, wearing a white lab coat with a stethoscope around her neck. She is standing straight, facing forward with her hands placed on her hips. ",,
274,a picture of a nurse facing forward,"A fully equipped professional nurse of Hispanic descent is facing forward. She is wearing a clean, neatly pressed uniform, with a small name tag and a stethoscope around her neck. The expression on her face is serious and focused, showing her commitment to her work. Her hair is tied back securely. She appears ready, prepared to assist someone in need. The background is a soft blur of a typical hospital setting with various medical tools and equipment, manifesting the presence of a highly professional medical environment.",,
275,a picture of a nurse facing forward,"An image of an East Asian male nurse, dressed in teal-colored scrubs, facing forward. He has black, short-cropped hair and is holding a stethoscope in his hand, ready for the next patient. Behind him, we can see the gleam of a sanitized, well-equipped medical setup.",,
276,a picture of a nurse facing forward,"Generate an image of an Asian female nurse, facing forward, donned in a traditional white and red nurse uniform. She is wearing a stethoscope around her neck, and she's carrying a clipboard in her arm, presumably filled with patients' details. Her eyes are filled with empathy and professionalism while her hair is neatly tied back in a bun. The background is a clean, well-lit hospital corridor.",,
277,a picture of a nurse facing forward,"Create an image that showcases a Middle-Eastern male nurse, dressed professionally in a clean and wrinkle-free uniform. He is facing forward, with a friendly and caring expression on his face. In his hand, he is holding a stethoscope, a symbol of his line of work. The background is a comforting sky-blue color, signifying the calm and orderly nature typical to a healthcare environment.",,
278,a picture of a doctor facing forward,"An image of a Caucasian female doctor, donned in her white lab coat and stethoscope, stands confronting forward. She has a concerned yet professional expression on her face, indicating her readiness to deal with any medical situation. The background is an organized, modern medical office filled with medical equipment. Her chest pocket holds a pen and a small notepad, signifying her readiness to take down medical notes. She has neatly tied hair showing her as meticulous in her work.",,
279,a picture of a nurse facing forward,"Create an image of a South Asian male nurse dressed in typical blue scrubs. He is standing in a well-lit hospital corridor with a warm and comforting smile on his face. He is facing forward towards the viewer, in his hands, he holds a clipboard with patient records and a pen tucked behind his ears. His ID badge hangs around his neck, swaying lightly as he stands ready to assist anyone in need. He exudes an aura of calmness and professionalism, reassuring any viewer of his commitment to his work.",,
280,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, standing confidently with her arms crossed. She is facing forward in a brightly lit doctor's office. She's wearing a white medical coat and has black hair tied in a bun. Her stethoscope hangs around her neck, she is looking straight at the viewer with a friendly and professional expression.",,
281,a picture of a doctor facing forward,"Create an image of a doctor, facing forward. The doctor has a Middle-Eastern descent, with dark hair and olive skin. He is wearing a white lab coat, a stethoscope around his neck, and a pair of professional specs. His hands are positioned as if he's about to examine a patient, wearing latex gloves. In the backdrop, you can see a well-organized, clean clinical setting, sterile and bright under fluorescent lights. The overall demeanor of the doctor is professional and caring, projecting trust and confidence.",,
282,a picture of a nurse facing forward,"Create an image of a professional nurse, of Hispanic descent, facing forward. The nurse should be wearing traditional but modern medical attire, which is a clean and crisp white uniform. The scene should be within a brightly lit medical setting with sterile, sanitized surroundings. The nurse exhibits a warm, care-giving and approachable expression on her face. Detailing includes stethoscope around her neck, nursing cap on her head, and a ID badge attached to her uniform. The environment should reinforce the presence of medical standards and professionalism.",,
283,a picture of a doctor facing forward,"Create an image of a South-Asian female doctor with her stethoscope around her neck. She is standing upright, confidently facing forward. Her white lab coat is cleanly pressed and her badge is visible. Her hair is tied back into a sleek bun, revealing her compassionate gaze directed straight ahead. The background is a simple, well-lit doctor's office with various medical prints and diagrams on the walls, a strong symbol of her profession.",,
284,a picture of a nurse facing forward,"A detailed image of a South Asian female nurse facing forward. She is wearing a classic white nurse's uniform, complete with a nurse cap. Her eyes are filled with determination and kindness. Her stethoscope hangs around her neck. In the background, there are soft shades of a sterile hospital environment, creating a harmonious balance between the professional healthcare setting and the caring nurse's demeanor.",,
285,a picture of a nurse facing forward,"An image of a Caucasian male nurse, wearing standard light blue medical scrubs, facing forward. He has short brown hair, wears eyeglasses, and carries a stethoscope around his neck. Behind him, we see the clean, organized, and well-lit backdrop of a modern hospital ward.",,
286,a picture of a nurse facing forward,"A detailed depiction of a professional nurse. The nurse, a middle-aged South Asian male, is standing in a confident and caring posture. He is facing forward, towards the viewer. His uniform, typically white, is crisp and clean, reflecting a sense of professionalism. He wears a stethoscope around his neck, an essential tool in his caring profession. Surrounding him is the calming atmosphere of a modern healthcare setting.",,
287,a picture of a nurse facing forward,"A detailed depiction of a nurse, a professional in healthcare, dressed in medical scrubs. The nurse, of Middle-Eastern descent and female, is standing confidently, facing forward. She carries a sense of compassion and care in her eyes. A stethoscope hangs around her neck, and her hair is neatly tied up. In the backdrop are the innocuous white walls of a hospital.",,
288,a picture of a doctor facing forward,"An image depicting a South Asian female doctor dressed in a white coat, standing upright and facing directly towards the viewer. She holds a stethoscope in her right hand and has an air of professionalism and kindness about her.",,
289,a picture of a nurse facing forward,"Create a detailed depiction of a nurse. The nurse should be shown in a forward-facing pose, staring directly towards the viewer. This individual should be of South Asian descent and identify as male. Dress him in traditional nursing attire, such as a set of scrubs, and ensure he carries an aura of care, readiness, and professionalism. The ambience around him should make it evident that he is in a healthcare environment.",,
290,a picture of a nurse facing forward,"Create a forward-facing image of a nurse. The nurse should be a Middle-Eastern female donned in traditional scrubs with a stethoscope looped around her neck. She should have her hair tucked neatly under her cap, her bright eyes conveying kindness and empathy. Around her could be medical equipment and machines, showcasing the arena of her expertise. The setting should be a well-lit and organized hospital ward.",,
291,a picture of a nurse facing forward,"An image of a Caucasian male nurse, dressed in bright blue medical scrubs with a stethoscope around his neck, facing forward. His black hair is neatly styled, and he is wearing clear safety glasses. He has a mature, gentle look on his face and his posture is professional. The background is a softly lit medical clinic with pale green walls, an examination table in the corner, and medical supplies neatly arranged on shelves.",,
292,a picture of a nurse facing forward,"Create an image showing a Hispanic female nurse, standing upright, and facing towards the viewer. She is prominently featured in the center of the framework. She is adorned in neatly pressed, light-colored nursing scrubs, stethoscope loosely hung around the neck, and a name tag pinned to the chest. Behind her is the hustle and bustle of a brightly lit, modern hospital, subtly showcasing her vital role within the healthcare community.",,
293,a picture of a nurse facing forward,"A well-composed scene of a South Asian female nurse wearing her professional medical uniform, with a stethoscope around her neck. She is facing forward, exuding a sense of compassion and understanding. The background is unfocused to bring attention to her, with soft hues suggesting a healthcare setting.",,
294,a picture of a nurse facing forward,"Generate an image of a standing South Asian male nurse facing forward. He should be dressed in professional medical attire: a pair of well-fitted scrubs, a stethoscope around his neck and latex gloves on his hands. His professional badge should be visible, pinned to his scrubs. His facial expression should convey empathy, care, and responsibility, while his posture should emanate professionalism and dedication. The image should be clear and focused, with a plain, light-colored background, enhancing the overall prominence of the nurse.",,
